code,name,faculty,facultyCode,url
AIM111,"Academic information management 111",Engineering, Built Environment and IT,EBIT,https://www.up.ac.za/yearbooks/2026/EBIT-faculty/UG-modules/view/AIM%20111
AIM121,"Academic information management 121",Engineering, Built Environment and IT,EBIT,https://www.up.ac.za/yearbooks/2026/EBIT-faculty/UG-modules/view/AIM%20121
UPO102,"Academic orientation 102",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/UPO%20102
IAS111,"Actuarial and Financial Mathematics in practice 111",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/IAS%20111
IAS121,"Actuarial and Financial Mathematics in practice 121",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/IAS%20121
WST322,"Actuarial statistics 322",Economic and Management Sciences,EMS,https://www.up.ac.za/yearbooks/2026/EMS-faculty/UG-modules/view/WST%20322
FST362,"Advanced animal and plant foods microbiology 362",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/FST%20362
FNH420,"Advanced food, nutrition and health 420",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/FNH%20420
GLY368,"Advanced Geological field mapping 368",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/GLY%20368
HNT411,"Advanced human nutrition 411",Health Sciences,MED,https://www.up.ac.za/yearbooks/2026/MED-faculty/UG-modules/view/HNT%20411
APL120,"Advanced introduction to social anthropology 120",Humanities,HUM,https://www.up.ac.za/yearbooks/2026/HUM-faculty/UG-modules/view/APL%20120
WDE450,"Advanced pasture science 450",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/WDE%20450
EST121,"Aesthetics 121",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/EST%20121
EST320,"Aesthetics: Product, consumer and environment 320",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/EST%20320
ZEN261,"African vertebrates 261",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/ZEN%20261
ARD485,"Agricultural and rural development principles 485",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/ARD%20485
LEK220,"Agricultural economics 220",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/LEK%20220
LEK310,"Agricultural economics 310",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/LEK%20310
LEK320,"Agricultural economics 320",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/LEK%20320
LEK415,"Agricultural economics 415",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/LEK%20415
LEK432,"Agricultural economics 432",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/LEK%20432
LEK431,"Agricultural market and price analysis 431",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/LEK%20431
LEK464,"Agricultural marketing 464",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/LEK%20464
WTW381,"Algebra 381",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/WTW%20381
WTW220,"Analysis 220",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/WTW%20220
WTW310,"Analysis 310",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/WTW%20310
CMY283,"Analytical chemistry 283",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/CMY%20283
CMY383,"Analytical chemistry 383",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/CMY%20383
DAF210,"Animal anatomy and physiology 210",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/DAF%20210
DAF220,"Animal anatomy and physiology 220",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/DAF%20220
TLR320,"Animal breeding 320",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/TLR%20320
TLR411,"Animal breeding 411",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/TLR%20411
ZEN161,"Animal diversity 161",Natural and Agricultural Sciences,SCI,https://www.up.ac.za/yearbooks/2026/SCI-faculty/UG-modules/view/ZEN%20161
